;pmid;lead_time;is_web_direct;checkin_date_index;stay_length;booking_status;nb_adults;child_presence;eligible_to_earn_points;points;stay_catotal_eur;hotel_brand;hotel_brand_positionning;hotel_rooms;hotel_sales_organisation;hotel_class;hotel_location_type;hotel_continent;hotel_euro_market;environment_type;declared_stay_type;is_all_member;type_member;is_member_ibis_business;is_member_business_plus;is_member_accor_plus;is_meeting_planner;booking_date_year;booking_date_month;booking_date_day_name;booking_date_is_weekend;checkin_date_year;checkin_date_month;checkin_date_day_name;checkin_date_is_weekend;checkout_date_year;checkout_date_month;checkout_date_day_name;checkout_date_is_weekend;gap_bkg_stay_nights
9618;2525;112.0;1;5;1;M;1.0;0;1;574;234.25;MERCURE;Midscale;108;Southern Europe;H;Second Location;AFRICA;AFRICA;TOWN;leisure;1;ALL Platinum;0;1;0;0;2021.0;2.0;Sunday;1;2021;10;Friday;0;2021;10;Saturday;1;0.0
9619;2525;75.0;1;7;1;M;1.0;0;1;602;246.0;MERCURE;Midscale;108;Southern Europe;H;Second Location;AFRICA;AFRICA;TOWN;leisure;1;ALL Platinum;0;1;0;0;2022.0;9.0;Thursday;0;2022;10;Sunday;1;2022;10;Monday;0;0.0
9621;2525;94.0;1;3;4;M;1.0;0;1;925;407.0;NOVOTEL;Midscale;133;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Platinum;0;1;0;0;2021.0;11.0;Thursday;0;2021;7;Wednesday;0;2021;7;Sunday;1;0.0
9622;2525;143.0;1;5;3;M;1.0;0;1;699;0.0;NOVOTEL;Midscale;198;Northern Europe;D;Prime Location;EUROPE;REST OF EUROPE;None;leisure;1;ALL Platinum;0;1;0;0;2021.0;11.0;Tuesday;0;2022;4;Friday;0;2022;4;Monday;0;0.0
9623;2525;347.0;1;4;3;M;1.0;0;1;1397;588.44;SOFITEL;Luxury and Upscale;433;IMEA;A;Prime Location;MIDDLE EAST;MIDDLE EAST;TOWN;leisure;1;ALL Platinum;0;1;0;0;2021.0;11.0;Sunday;1;2022;10;Tuesday;0;2022;11;Sunday;1;0.0
9624;2525;6.0;1;5;2;M;1.0;0;1;663;0.0;SOFITEL;Luxury and Upscale;368;Northern Europe;A;Prime Location;EUROPE;REST OF EUROPE;TOWN;leisure;1;ALL Platinum;0;1;0;0;2022.0;5.0;Saturday;1;2022;3;Sunday;1;2022;5;Friday;0;0.0
9625;2525;22.0;1;5;3;M;1.0;0;1;799;354.39;NOVOTEL;Midscale;133;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Platinum;0;1;0;0;2022.0;7.0;Thursday;0;2022;12;Thursday;0;2022;8;Monday;0;0.0
9626;2525;74.0;1;1;3;M;1.0;0;1;1504;1360.15;SOFITEL;Luxury and Upscale;189;IMEA;G;Prime Location;AFRICA;AFRICA;SEA;leisure;1;ALL Platinum;0;1;0;0;2022.0;11.0;Tuesday;0;2022;10;Monday;0;2022;10;Thursday;0;0.0
9627;2526;4.0;1;1;2;A;1.0;0;1;247;219.0;IBIS HOTELS;Economy;80;Southern Europe;H;Second Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Silver;0;0;0;0;2022.0;12.0;Monday;0;2022;5;Monday;0;2022;5;Wednesday;0;0.0
9628;2526;1.0;1;3;1;A;1.0;0;1;142;125.2;IBIS HOTELS;Economy;69;Southern Europe;F;Other Location and Suburbs;EUROPE;FRANCE;None;leisure;1;ALL Silver;0;0;0;0;2022.0;5.0;Tuesday;0;2022;5;Wednesday;0;2022;5;Thursday;0;0.0
